ISSN,T�tulo,Estrato
0102-6720,ABCD. Arquivos Brasileiros-xxxxxxxxxxxxxxxxxxxxxxxxxx de Cirurgia Digestiva,B1
1980-4814,"ABCustos (S�o Leopoldo, RS)",B4
1516-618X,ABMES Cadernos,B5
1012-8255,Academia (Caracas),B1
2048-9803,Academic Publishing International Limited,B4
1076-6332,Academic Radiology,A1
2156-5155,Academy of Business Education. Journal,B5
1528-2686,Academy of Entrepreneurship Journal,B5
1519-7859,A��o Ergon�mica,B4
0963-9284,Accounting Education: An International Journal,B1
0329-9147,Acheronta (En l�nea),C
2153-2184,ACM Inroads,B5
1046-8188,ACM Transactions on Information Systems,A1
2177-4307,Acta Geografica,B4
1000-9515,Acta Geologica Sinica (Beijing),A1
0103-2100,Acta Paulista de Enfermagem (UNIFESP. Impresso),A2
0303-464X,Acta Reumatol�gica Portuguesa,A2
1679-7361,Acta Scientiarum. Human and Social Sciences (Impresso),B2hufdhdfoas
